file,Municipal_Name,GEO_ID,County,RPC_Name,RPC,FIPS6
Windham_Dummerston.geojson,Dummerston,5002518325,Windham,Windham Regional Commission,WRC,25025
Windham_Halifax.geojson,Halifax,5002531150,Windham,Windham Regional Commission,WRC,25040
Windham_Londonderry.geojson,Londonderry,5002540225,Windham,Windham Regional Commission,WRC,25050
Windham_Marlboro.geojson,Marlboro,5002543375,Windham,Windham Regional Commission,WRC,25055
Windham_Newfane.geojson,Newfane,5002548400,Windham,Windham Regional Commission,WRC,25060
Windham_Putney.geojson,Putney,5002557700,Windham,Windham Regional Commission,WRC,25065
Windham_Rockingham.geojson,Rockingham,5002560250,Windham,Windham Regional Commission,WRC,25070
Windham_Stratton.geojson,Stratton,5002570750,Windham,Windham Regional Commission,WRC,25075
Windham_Wardsboro.geojson,Wardsboro,5002576225,Windham,Windham Regional Commission,WRC,25090
Windham_Westminster.geojson,Westminster,5002581400,Windham,Windham Regional Commission,WRC,25095
Windham_Whitingham.geojson,Whitingham,5002583950,Windham,Windham Regional Commission,WRC,25100
Windham_Wilmington.geojson,Wilmington,5002584700,Windham,Windham Regional Commission,WRC,25105
Windham_Windham.geojson,Windham,5002584850,Windham,Windham Regional Commission,WRC,25110
Windsor_Andover.geojson,Andover,5002701300,Windsor,Mount Ascutney Regional Commission,MARC,27005
Windsor_Baltimore.geojson,Baltimore,5002702575,Windsor,Mount Ascutney Regional Commission,MARC,27011
Windsor_Barnard.geojson,Barnard,5002702725,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27015
Windsor_Bethel.geojson,Bethel,5002705800,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27020
Windsor_Chester.geojson,Chester,5002713675,Windsor,Mount Ascutney Regional Commission,MARC,27035
Windsor_Hartford.geojson,Hartford,5002732275,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27040
Windsor_LudlowTown.geojson,Ludlow Town,5002741275,Windsor,Mount Ascutney Regional Commission,MARC,27050
Windsor_LudlowVillage.geojson,Ludlow Village,5002741275,Windsor,Mount Ascutney Regional Commission,MARC,27050
Windsor_Norwich.geojson,Norwich,5002752900,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27055
Windsor_Plymouth.geojson,Plymouth,5002756050,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27060
Windsor_Pomfret.geojson,Pomfret,5002756350,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27065
Windsor_Reading.geojson,Reading,5002758375,Windsor,Mount Ascutney Regional Commission,MARC,27070
Windsor_Rochester.geojson,Rochester,5002760100,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27075
Windsor_Springfield.geojson,Springfield,5002769550,Windsor,Mount Ascutney Regional Commission,MARC,27090
Windsor_Stockbridge.geojson,Stockbridge,5002770375,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27095
Windsor_Weathersfield.geojson,Weathersfield,5002777500,Windsor,Mount Ascutney Regional Commission,MARC,27100
Windsor_WestWindsor.geojson,West Windsor,5002783050,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27110
Windsor_Weston.geojson,Weston,5002782000,Windsor,Windham Regional Commission,WRC,27105
Windsor_Windsor.geojson,Windsor,5002784925,Windsor,Mount Ascutney Regional Commission,MARC,27115
Windsor_WoodstockTown.geojson,Woodstock Town,5002785975,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27120
Windsor_WoodstockVillage.geojson,Woodstock Village,5002785975,Windsor,Two Rivers Ottauquechee Regional Commission,TRORC,27120
